Plate,State,License Type,Summons Number,Issue Date,Violation Time,Violation,Judgment Entry Date,Fine Amount,Penalty Amount,Interest Amount,Reduction Amount,Payment Amount,Amount Due,Precinct,County,Issuing Agency,Violation Status,Summons Image
75669MD,NY,COM,5098875500,10/05/2017,03:20A,FAILURE TO STOP AT RED LIGHT,,50.00,0.00,0.00,0.00,50.00,0.00,000,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VOUVaek5PVkZWM1RVRTlQUT09&locationName=_____________________)
82036MJ,NY,COM,5099352492,11/06/2017,12:16P,FAILURE TO STOP AT RED LIGHT,,50.00,0.00,0.00,0.00,50.00,0.00,000,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VOVVUVEZOYWxFMVRXYzlQUT09&locationName=_____________________)
95539JW,NY,COM,7498792709,11/17/2016,10:12P,FRONT OR BACK PLATE MISSING,,65.00,0.00,0.00,65.00,0.00,0.00,041,BX,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wUk5VOUVZelZOYW1OM1QxRTlQUT09&locationName=_____________________)
98721JZ,NY,COM,7405990642,07/09/2016,03:15A,FRONT OR BACK PLATE MISSING,,65.00,30.00,0.00,0.00,95.00,0.00,041,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wUmQwNVVhelZOUkZrd1RXYzlQUT09&locationName=_____________________)
46421JZ,NY,COM,7405990654,07/09/2016,03:17A,FRONT OR BACK PLATE MISSING,,65.00,30.00,0.00,0.00,95.00,0.00,041,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wUmQwNVVhelZOUkZreFRrRTlQUT09&locationName=_____________________)
78267MB,NY,COM,7773505299,10/01/2016,08:21A,CROSSWALK,,115.00,30.00,0.00,0.00,145.00,0.00,048,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wak0wMTZWWGRPVkVrMVQxRTlQUT09&locationName=_____________________)
78265MB,NY,COM,7777186243,11/26/2016,03:40P,INSP. STICKER-EXPIRED/MISSING,,65.00,10.00,0.00,0.00,75.00,0.00,041,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wak0wNTZSVFJPYWtrd1RYYzlQUT09&locationName=_____________________)
37504MH,NY,COM,7554395488,06/06/2016,10:56A,FAIL TO DSPLY MUNI METER RECPT,09/22/2016,35.00,60.00,0.26,0.05,95.21,0.00,043,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wVk1VNUVUVFZPVkZFMFQwRTlQUT09&locationName=_____________________)
98721JZ,NY,COM,5094000573,10/22/2016,04:23A,FAILURE TO STOP AT RED LIGHT,,50.00,0.00,0.00,0.00,50.00,0.00,000,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VNUVRWGROUkZVelRYYzlQUT09&locationName=_____________________)
68470MJ,NY,COM,1422950852,06/23/2017,08:38A,SIDEWALK,,115.00,0.00,0.00,0.00,115.00,0.00,041,BX,DEPARTMENT OF SANITATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUmVVMXFhekZOUkdjeFRXYzlQUT09&locationName=_____________________)
75669MD,NY,COM,7809889011,10/15/2016,11:27A,DOUBLE PARKING,,115.00,30.00,0.00,0.00,145.00,0.00,020,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wbmQwOVVaelJQVkVGNFRWRTlQUT09&locationName=_____________________)
35185ME,NY,COM,5101975734,05/25/2018,01:09A,FAILURE TO STOP AT RED LIGHT,,50.00,0.00,0.00,0.00,50.00,0.00,000,MN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmQwMVVhek5PVkdONlRrRTlQUT09&locationName=_____________________)
10843ML,NY,COM,5102278186,06/09/2018,10:54A,FAILURE TO STOP AT RED LIGHT,,50.00,0.00,0.00,0.00,50.00,0.00,000,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmQwMXFTVE5QUkVVMFRtYzlQUT09&locationName=_____________________)
82036MJ,NY,COM,5098960319,10/04/2017,10:58A,FAILURE TO STOP AT RED LIGHT,,50.00,0.00,0.00,0.00,50.00,0.00,000,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VOUVhekpOUkUxNFQxRTlQUT09&locationName=_____________________)
99532MG,NY,COM,7807395758,09/06/2016,11:07P,WRONG WAY,,45.00,0.00,0.00,0.00,45.00,0.00,041,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wbmQwNTZUVFZPVkdNeFQwRTlQUT09&locationName=_____________________)
30271JX,NY,COM,7885068948,09/19/2016,11:03A,NO STANDING-BUS LANE,,115.00,0.00,0.00,0.00,115.00,0.00,017,NY,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wbk5FNVVRVEpQUkdzd1QwRTlQUT09&locationName=_____________________)
75669MD,NY,COM,8020139138,10/03/2016,12:14P,INSP. STICKER-EXPIRED/MISSING,,65.00,30.00,0.00,0.00,95.00,0.00,048,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSQmVVMUVSWHBQVkVWNlQwRTlQUT09&locationName=_____________________)
46421JZ,NY,COM,8019058199,07/20/2016,02:45P,DOUBLE PARKING,,115.00,30.00,0.00,0.00,145.00,0.00,049,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSQmVFOVVRVEZQUkVVMVQxRTlQUT09&locationName=_____________________)
46421JZ,NY,COM,8138547996,12/19/2016,01:58P,FRONT OR BACK PLATE MISSING,,65.00,0.00,0.00,0.00,65.00,0.00,041,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmVrOUVWVEJPZW1zMVRtYzlQUT09&locationName=_____________________)
46422JZ,NY,COM,5096481426,05/08/2017,03:18A,FAILURE TO STOP AT RED LIGHT,,50.00,0.00,0.00,0.00,50.00,0.00,000,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VNXFVVFJOVkZGNVRtYzlQUT09&locationName=_____________________)
78268MB,NY,COM,5096563765,05/11/2017,02:22A,FAILURE TO STOP AT RED LIGHT,,50.00,0.00,0.00,0.00,50.00,0.00,000,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VNXFWVEpOZW1NeVRsRTlQUT09&locationName=_____________________)
46422JZ,NY,COM,5096687820,05/19/2017,09:33P,FAILURE TO STOP AT RED LIGHT,,50.00,0.00,0.00,0.00,50.00,0.00,000,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VNXFXVFJPZW1kNVRVRTlQUT09&locationName=_____________________)
78268MB,NY,COM,8049842162,06/22/2016,09:34A,FAIL TO DISP. MUNI METER RECPT,,65.00,60.00,0.00,0.00,125.00,0.00,013,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSQk1FOVVaekJOYWtVeVRXYzlQUT09&locationName=_____________________)
66856JU,NY,COM,8069531642,09/12/2016,10:39A,DOUBLE PARKING,,115.00,0.00,0.00,0.00,115.00,0.00,019,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSQk1rOVVWWHBOVkZrd1RXYzlQUT09&locationName=_____________________)
66856JU,NY,COM,8476572839,04/20/2018,09:07A,DOUBLE PARKING-MIDTOWN COMML,,115.00,0.00,0.00,0.00,115.00,0.00,014,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wNXFWVE5OYW1kNlQxRTlQUT09&locationName=_____________________)
85051JV,NY,COM,8133527612,09/23/2016,09:36P,FRONT OR BACK PLATE MISSING,,65.00,0.00,0.00,0.00,65.00,0.00,041,BX,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmVrMTZWWGxPZWxsNFRXYzlQUT09&locationName=_____________________)
68470MJ,NY,COM,8477362695,05/16/2017,09:39A,NO STANDING-DAY/TIME LIMITS,,115.00,10.00,0.00,0.00,125.00,0.00,017,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wNTZUVEpOYWxrMVRsRTlQUT09&locationName=_____________________)
68462MJ,NY,COM,8498468577,06/08/2017,07:43A,NO STANDING-BUS LANE,,115.00,0.00,0.00,0.00,115.00,0.00,017,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5VOUVVVEpQUkZVelRuYzlQUT09&locationName=_____________________)
